Designator,Mid X,Mid Y,Rotation,Layer
C1,157.05,-88.6,270.0,top
C10,155.0,-82.6,0.0,top
C11,155.0,-84.6,0.0,top
C12,154.55,-94.1,0.0,top
C13,154.55,-95.1,0.0,top
C14,154.55,-93.1,0.0,top
C15,155.15,-104.5,0.0,top
C16,146.65,-102.0,90.0,top
C17,148.65,-102.0,270.0,top
C18,156.15,-99.5,0.0,top
C19,138.737258,-86.548386,45.0,top
C2,161.04,-110.0,0.0,top
C20,138.723116,-90.098062,135.0,top
C21,126.398851,-108.428851,180.0,top
C22,129.0,-108.5,0.0,top
C24,126.398851,-111.428851,0.0,top
C25,143.5,-100.5,0.0,top
C26,151.5,-97.5,270.0,top
C27,123.5,-100.0,90.0,top
C28,124.5,-98.0,270.0,top
C29,124.5,-100.0,90.0,top
C3,153.655,-105.56,0.0,top
C30,130.52,-106.0,0.0,top
C31,139.5,-104.5,0.0,top
C32,144.5,-99.0,270.0,top
C33,136.0,-88.98,90.0,top
C34,145.5,-99.0,270.0,top
C35,131.207107,-86.12132,315.0,top
C36,132.62132,-84.707107,315.0,top
C37,127.767767,-91.267766,225.0,top
C38,124.232233,-87.732233,45.0,top
C39,127.74,-79.075,90.0,top
C4,153.655,-107.53,0.0,top
C5,153.655,-109.5,180.0,top
C6,153.655,-111.47,0.0,top
C7,161.04,-107.5,0.0,top
C8,155.0,-81.1,0.0,top
C9,155.0,-86.6,0.0,top
CARD1,140.675,-72.15,0.0,top
D1,164.525,-107.0,0.0,top
J1,154.54,-76.37,90.0,top
J2,165.54,-115.5,0.0,top
J3,154.54,-69.23,90.0,top
L1,157.54,-109.0,90.0,top
L2,151.05,-90.1,90.0,top
L3,152.15,-102.0,180.0,top
L4,130.5,-104.5,0.0,top
R1,139.61,-112.3825,180.0,top
R10,151.54,-108.75,0.0,top
R11,151.54,-110.5,0.0,top
R12,151.54,-112.25,0.0,top
R13,157.55,-90.1,0.0,top
R14,151.54,-115.75,0.0,top
R15,158.05,-92.1,270.0,top
R16,157.15,-105.5,180.0,top
R17,157.15,-104.5,0.0,top
R18,136.0,-81.18,90.0,top
R19,137.0,-81.18,90.0,top
R2,143.61,-112.3825,0.0,top
R20,139.0,-81.18,90.0,top
R21,141.5,-81.18,90.0,top
R22,142.5,-81.18,90.0,top
R23,143.75,-81.18,90.0,top
R24,123.24,-78.575,270.0,top
R3,149.09,-108.75,0.0,top
R4,149.09,-110.5,0.0,top
R5,149.09,-112.25,0.0,top
R6,149.09,-114.0,0.0,top
R7,149.09,-115.75,0.0,top
R8,151.54,-105.25,0.0,top
R9,151.54,-107.0,0.0,top
SW1,127.5,-75.0,270.0,top
SW2,123.27,-75.0,270.0,top
U1,155.01,-90.0,90.0,top
U3,123.398851,-109.928851,90.0,top
U4,141.0,-88.5,45.0,top
U5,157.95,-113.9115,0.0,top
U6,156.15,-102.0,270.0,top
U7,135.5,-97.5,225.0,top
USB1,141.61,-115.8,0.0,top
X1,126.0,-89.5,315.0,top
X2,130.5,-84.0,225.0,top
